# ========
# captured on: Mon Nov 10 22:27:47 2014
# hostname : euler16
# os release : 2.6.32-358.6.2.el6.x86_64
# perf version : 2.6.32-358.23.2.el6.x86_64.debug
# arch : x86_64
# nrcpus online : 64
# nrcpus avail : 64
# cpudesc : AMD Opteron(TM) Processor 6274 
# cpuid : AuthenticAMD,21,1,2
# total memory : 132151156 kB
# cmdline : /usr/bin/perf record -a -e branch-misses -o rs_32.branch -- ./dress 
# event : name = branch-misses, type = 0, config = 0x5, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, id = { 16129, 16130, 16131, 16132, 16133, 16134, 16135, 16136, 16137, 16138, 16139, 16140, 16141, 16142, 16143, 16144, 16145, 16146, 16147, 16148, 16149, 16150, 16151, 16152, 16153, 16154, 16155, 16156, 16157, 16158, 16159, 16160, 16161, 16162, 16163, 16164, 16165, 16166, 16167, 16168, 16169, 16170, 16171, 16172, 16173, 16174, 16175, 16176, 16177, 16178, 16179, 16180, 16181, 16182, 16183, 16184, 16185, 16186, 16187, 16188, 16189, 16190, 16191, 16192 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 832K of event 'branch-misses'
# Event count (approx.): 815145440
#
# Overhead,Command,Shared Object,Symbol
10.53,          dress,dress                      ,[.] thrust::detail::normal_iterator<float*> thrust::operator+<thrust::detail::normal_iterator<float*>, float, thrust::system::cpp::detail::tag, thrust::random_access_traversal_tag, float&, long>(thrust::iterator_facade<thrust::detail::normal_iterator<float*>, float, thrust::system::cpp::detail::tag, thrust::random_access_traversal_tag, float&, long> const&, thrust::detail::normal_iterator<float*>::difference_type)                                            
3.17,          dress,dress                      ,[.] thrust::iterator_adaptor<thrust::detail::normal_iterator<float*>, float*, thrust::use_default, thrust::use_default, thrust::use_default, thrust::use_default, thrust::use_default>::advance(long)                                                                                                                                                                                                                                                                         
2.96,          dress,dress                      ,[.] void thrust::iterator_core_access::advance<thrust::detail::normal_iterator<float*> >(thrust::detail::normal_iterator<float*>&, thrust::detail::normal_iterator<float*>::difference_type)                                                                                                                                                                                                                                                                                  
2.42,          dress,libChronoEngine_Parallel.so,[.] overlap(real3, real3, real3, real3)                                                                                                                                                                                                                                                                                                                                                                                                                                       
0.63,          dress,libChronoEngine_Parallel.so,[.] thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default> const& thrust::detail::get_class<0>::get<thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default> const&, thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>
0.55,          dress,libc-2.12.so               ,[.] _int_malloc                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0.54,          dress,libChronoEngine_Parallel.so,[.] thrust::zip_iterator<thrust::tuple<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<int*>, thrust::system::omp::detail::par_t>, thrust::detail::tagged_iterator<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t>, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_
0.54,          dress,libChronoEngine_Parallel.so,[.] thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>::reference(thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default> const&)                                                                                                                                                                                                     
0.53,          dress,libChronoEngine_Parallel.so,[.] thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>::reference thrust::iterator_core_access::dereference<thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default> >(thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default> const&)                                                                                 
0.52,          dress,libChronoEngine_Parallel.so,[.] chrono::ChConstraintRigidRigid::func_Project(int&, int2*, real3*, float*, float*)                                                                                                                                                                                                                                                                                                                                                                                         
0.51,          dress,libChronoEngine_Parallel.so,[.] long long& thrust::detail::get_class<0>::get<long long&, long long&, thrust::null_type>(thrust::detail::cons<long long&, thrust::null_type>&)                                                                                                                                                                                                                                                                                                                             
0.50,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_facade<thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, long long, thrust::system::omp::detail::par_t, thrust::random_access_traversal_tag, thrust::reference<long long, thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>, long>::derived() const                                                                 
0.49,          dress,libChronoEngine_Parallel.so,[.] real3::operator*(float) const                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.48,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_facade<thrust::zip_iterator<thrust::tuple<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<long long*>, thrust::system::omp::detail::par_t>, thrust::detail::tagged_iterator<thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t>, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_ty
0.48,          dress,libChronoEngine_Parallel.so,[.] real3::operator-() const                                                                                                                                                                                                                                                                                                                                                                                                                                                  
0.47,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_facade<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, int, thrust::system::omp::detail::par_t, thrust::random_access_traversal_tag, thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>, long>::derived()                                                                                               
0.46,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::raw_reference<int>::type thrust::raw_reference_cast<int>(int&)                                                                                                                                                                                                                                                                                                                                                                                            
0.46,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_facade<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<int*>, thrust::system::omp::detail::par_t>, int, thrust::system::omp::detail::par_t, thrust::random_access_traversal_tag, int&, long>::operator+=(long)                                                                                                                                                                                                                           
0.45,          dress,libm-2.12.so               ,[.] __sin                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
0.44,          dress,libChronoEngine_Parallel.so,[.] thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>::dereference() const                                                                                                                                                                                                                                                                                                                                                   
0.44,          dress,libChronoEngine_Parallel.so,[.] bbox_reduction::operator()(thrust::pair<real3, real3>, thrust::pair<real3, real3>)                                                                                                                                                                                                                                                                                                                                                                                        
0.43,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::tagged_iterator<thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t>::reference thrust::iterator_core_access::dereference<thrust::detail::tagged_iterator<thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t> >(thrust::detail::tagged_iterator<thrust::pointer<long lo
0.42,          dress,libChronoEngine_Parallel.so,[.] thrust::access_traits<thrust::tuple_element<1, thrust::detail::cons<int&, thrust::detail::cons<thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>, thrust::null_type> > >::type>::const_type thrust::get<1, int&, thrust::detail::cons<thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use
0.39,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_adaptor<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<long long*>, thrust::system::omp::detail::par_t>, thrust::detail::normal_iterator<long long*>, long long, thrust::system::omp::detail::par_t, thrust::random_access_traversal_tag, long long&, long>::advance(long)                                                                                                                                                              
0.38,          dress,libChronoEngine_Parallel.so,[.] real3::cross(real3 const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                          
0.36,          dress,libChronoEngine_Parallel.so,[.] thrust::zip_iterator<thrust::tuple<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<long long*>, thrust::system::omp::detail::par_t>, thrust::detail::tagged_iterator<thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t>, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, t
0.36,          dress,libChronoEngine_Parallel.so,[.] void thrust::iterator_core_access::advance<thrust::zip_iterator<thrust::tuple<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<long long*>, thrust::system::omp::detail::par_t>, thrust::detail::tagged_iterator<thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t>, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_ty
0.34,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_facade<thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, long long, thrust::system::omp::detail::par_t, thrust::random_access_traversal_tag, thrust::reference<long long, thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>, long>::operator+=(long)                                                                
0.33,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_adaptor<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, int*, int, thrust::system::omp::detail::par_t, thrust::random_access_traversal_tag, thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>, long>::advance(long)                                                                                    
0.32,          dress,libChronoEngine_Parallel.so,[.] thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>::dereference() const                                                                                                                                                                                                                                                                                                                                             
0.32,           init,[kernel.kallsyms]          ,[k] 0xffffffff8101bd3b                                                                                                                                                                                                                                                                                                                                                                                                                                                        
0.30,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::cons<long long&, thrust::detail::cons<long long&, thrust::null_type> >::cons<long long, long long, thrust::null_type const, thrust::null_type const, thrust::null_type const, thrust::null_type const, thrust::null_type const, thrust::null_type const, thrust::null_type const, thrust::null_type const>(long long&, long long&, thrust::null_type const&, thrust::null_type const&, thrust::null_type const&, thrust::null_type const&, thrust::null_ty
0.30,          dress,libChronoEngine_Parallel.so,[.] Cone_generalized(float&, float&, float&, float const&)                                                                                                                                                                                                                                                                                                                                                                                                                    
0.30,          dress,libChronoEngine_Parallel.so,[.] void thrust::iterator_core_access::advance<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default> >(thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>&, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>::difference_type)                                                                                                 
0.29,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::cons<int&, thrust::detail::cons<int&, thrust::null_type> >::cons<int, int, thrust::null_type const, thrust::null_type const, thrust::null_type const, thrust::null_type const, thrust::null_type const, thrust::null_type const, thrust::null_type const, thrust::null_type const>(int&, int&, thrust::null_type const&, thrust::null_type const&, thrust::null_type const&, thrust::null_type const&, thrust::null_type const&, thrust::null_type const&,
0.29,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_adaptor<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<int*>, thrust::system::omp::detail::par_t>, thrust::detail::normal_iterator<int*>, int, thrust::system::omp::detail::par_t, thrust::random_access_traversal_tag, int&, long>::advance(long)                                                                                                                                                                                      
0.28,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_facade<thrust::detail::tagged_iterator<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t>, int, thrust::system::omp::detail::par_t, thrust::random_access_traversal_tag, thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>, long>::derived()                          
0.28,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_adaptor<thrust::detail::tagged_iterator<thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t>, thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, long long, thrust::system::omp::detail::par_t, thrust::random_access_traversal_tag, thrust::reference<long long, thrust::pointer<long long, thrust::syst
0.27,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_facade<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<int*>, thrust::system::omp::detail::par_t>, int, thrust::system::omp::detail::par_t, thrust::random_access_traversal_tag, int&, long>::derived()                                                                                                                                                                                                                                  
0.26,          dress,libm-2.12.so               ,[.] __cos                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
0.24,          dress,libChronoEngine_Parallel.so,[.] thrust::reference<long long, thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>::reference(thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default> const&)                                                                                                                                                                                   
0.24,          dress,libChronoEngine_Parallel.so,[.] thrust::reference<long long, thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default> const& thrust::detail::get_class<1>::get<thrust::reference<long long, thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default> const&, long long&, thrust::detail::cons<thrust::reference<long long, thrust::pointer<long long, thrust::
0.23,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_facade<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, int, thrust::system::omp::detail::par_t, thrust::random_access_traversal_tag, thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>, long>::operator+=(long)                                                                                        
0.23,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_adaptor<thrust::detail::tagged_iterator<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t>, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, int, thrust::system::omp::detail::par_t, thrust::random_access_traversal_tag, thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust
0.23,          dress,libChronoEngine_Parallel.so,[.] void thrust::detail::advance_iterator<long>::operator()<thrust::detail::tagged_iterator<thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t> >(thrust::detail::tagged_iterator<thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t>&) const                                             
0.23,          dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_function<thrust::detail::host_unary_transform_functor<thrust::identity<long long> >, void>::operator()<thrust::detail::tuple_of_iterator_references<long long&, thrust::reference<long long, thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, t
0.22,          dress,libChronoEngine_Parallel.so,[.] thrust::access_traits<thrust::tuple_element<1, thrust::detail::cons<long long&, thrust::detail::cons<thrust::reference<long long, thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>, thrust::null_type> > >::type>::const_type thrust::get<1, long long&, thrust::detail::cons<thrust::reference<long long, thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_defaul
0.22,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::advance_iterator<long> thrust::detail::tuple_impl_specific::tuple_for_each<thrust::detail::advance_iterator<long>, thrust::system::omp::detail::par_t>(thrust::null_type, thrust::detail::advance_iterator<long>, thrust::system::omp::detail::par_t*)                                                                                                                                                                                                    
0.22,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::tuple_transform_functor<thrust::detail::tuple_of_iterator_references<int&, thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>, thrust::detail::raw_reference_detail::raw_reference_tuple_helper, thr
0.22,          dress,libChronoEngine_Parallel.so,[.] thrust::zip_iterator<thrust::tuple<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<int*>, thrust::system::omp::detail::par_t>, thrust::detail::tagged_iterator<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t>, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_
0.22,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_facade<thrust::detail::normal_iterator<real3*>, real3, thrust::system::cpp::detail::tag, thrust::random_access_traversal_tag, real3&, long>::derived() const                                                                                                                                                                                                                                                                                             
0.22,          dress,libChronoEngine_Parallel.so,[.] _ZN6chrono22ChConstraintRigidRigid12host_ProjectEP4int2P5real3PfS5_._omp_fn.12                                                                                                                                                                                                                                                                                                                                                                                            
0.22,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_facade<thrust::detail::tagged_iterator<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t>, int, thrust::system::omp::detail::par_t, thrust::random_access_traversal_tag, thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>, long>::operator+=(long)                   
0.21,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::normal_iterator<long long*>::reference thrust::iterator_core_access::dereference<thrust::detail::normal_iterator<long long*> >(thrust::detail::normal_iterator<long long*> const&)                                                                                                                                                                                                                                                                        
0.21,          dress,dress                      ,[.] chrono::ChQuaternion<double>::ChQuaternion()                                                                                                                                                                                                                                                                                                                                                                                                                              
0.21,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_facade<thrust::detail::normal_iterator<long long*>, long long, thrust::system::cpp::detail::tag, thrust::random_access_traversal_tag, long long&, long>::derived() const                                                                                                                                                                                                                                                                                 
